"id","bal","block","x","cond","trial","y","c2","task","cycle","dim1","dim2","cor","error","res","time","valence_current_group","valence_previous_group","switch","prev_error","mean_rt","sd_rt","rt_z"
"9",1,"1",0,"0",46,0,0,"2","1","1","3","3",0,"3",477,2,1,1,0,626.714285714286,215.265167728025,-0.695487743300119
"9",1,"1",0,"0",47,0,0,"2","2","2","1","1",0,"1",557,2,1,0,0,613.3125,248.881554611439,-0.226262247870947
"9",1,"1",0,"0",48,0,0,"2","3","3","1","1",0,"1",869,2,1,0,0,675.820512820513,490.189537552614,0.394091412362616
"9",1,"1",0,"0",49,0,0,"1","1","3","1","3",0,"3",517,2,2,1,0,698.816326530612,322.043260129067,-0.564571127673173
"9",1,"1",0,"0",50,0,0,"1","2","3","2","3",0,"3",357,2,2,0,0,522.446808510638,273.635334016281,-0.604625163286823
"9",1,"1",0,"0",51,0,0,"1","3","3","1","3",0,"3",292,2,2,0,0,570.148148148148,234.505453724843,-1.18610524288494
"9",1,"1",0,"0",52,0,0,"2","1","2","1","1",0,"1",869,2,2,1,0,698.816326530612,322.043260129067,0.528449728776135
"9",1,"1",0,"0",53,0,0,"2","2","3","1","1",0,"1",341,2,2,0,0,522.446808510638,273.635334016281,-0.663097144098512
"9",1,"1",0,"0",55,0,0,"1","1","3","4","3",0,"3",661,1,2,1,0,628.463414634146,197.049371676361,0.1651189500837
"9",1,"1",0,"0",56,0,0,"1","2","3","4","3",0,"3",261,1,2,0,0,519.414634146341,163.364466088828,-1.58182890277884
"9",1,"1",0,"0",57,0,0,"1","3","2","4","2",0,"2",604,1,2,0,0,498.380952380952,122.740843855215,0.860504493057221
"9",1,"1",0,"0",58,0,0,"2","1","2","3","3",1,"2",717,2,1,1,0,626.714285714286,215.265167728025,0.419416272677171
"9",1,"1",0,"0",59,0,0,"2","2","1","3","3",0,"3",332,2,1,0,1,613.3125,248.881554611439,-1.13030674546852
"9",1,"1",0,"0",60,0,0,"2","3","2","1","1",0,"1",549,2,1,0,0,675.820512820513,490.189537552614,-0.258717298320347
"9",1,"1",0,"0",61,0,0,"1","1","3","4","3",0,"3",533,1,2,1,0,628.463414634146,197.049371676361,-0.484464445747829
"9",1,"1",0,"0",62,0,0,"1","2","2","4","2",0,"2",629,1,2,0,0,519.414634146341,163.364466088828,0.670802950465817
"9",1,"1",0,"0",63,0,0,"1","3","1","4","1",0,"1",436,1,2,0,0,498.380952380952,122.740843855215,-0.50823304143596
"9",1,"1",0,"0",64,0,0,"2","1","3","1","1",0,"1",749,2,1,1,0,626.714285714286,215.265167728025,0.568070141474143
"9",1,"1",0,"0",65,0,0,"2","2","2","1","1",0,"1",524,2,1,0,0,613.3125,248.881554611439,-0.358855440851924
"9",1,"1",0,"0",66,0,0,"2","3","2","3","3",0,"3",645,2,1,0,0,675.820512820513,490.189537552614,-0.0628746851154584
"9",1,"1",0,"0",67,0,0,"1","1","2","3","2",0,"2",1333,2,2,1,0,698.816326530612,322.043260129067,1.96924994864113
"9",1,"1",0,"0",68,0,0,"1","2","2","3","2",0,"2",292,2,2,0,0,522.446808510638,273.635334016281,-0.842167585334309
"9",1,"1",0,"0",69,0,0,"1","3","2","3","2",0,"2",300,2,2,0,0,570.148148148148,234.505453724843,-1.15199089768346
"9",1,"1",0,"0",71,0,0,"2","2","3","1","1",0,"1",548,2,2,0,0,522.446808510638,273.635334016281,0.0933841076527101
"9",1,"1",0,"0",72,0,0,"2","3","2","3","3",0,"3",340,2,2,0,0,570.148148148148,234.505453724843,-0.981419171676034
"9",1,"1",0,"0",73,0,0,"1","1","1","4","1",0,"1",477,1,2,1,0,628.463414634146,197.049371676361,-0.768657181424123
"9",1,"1",0,"0",74,0,0,"1","2","2","4","2",0,"2",453,1,2,0,0,519.414634146341,163.364466088828,-0.406542718477279
"9",1,"1",0,"0",75,0,0,"1","3","2","4","2",0,"2",493,1,2,0,0,498.380952380952,122.740843855215,-0.0438399493757739
"9",1,"1",0,"0",76,0,0,"2","1","4","2","2",0,"2",1109,1,1,1,0,723.486486486486,363.182967480398,1.06148566434168
"9",1,"1",0,"0",77,0,0,"2","2","4","1","1",0,"1",485,1,1,0,0,475.717948717949,127.662579258959,0.0727076903500671
"9",1,"1",0,"0",78,0,0,"2","3","4","2","2",0,"2",477,1,1,0,0,502.837837837838,222.058990349851,-0.116355738613107
"9",1,"1",0,"0",79,0,0,"1","1","3","1","3",0,"3",708,2,1,1,0,626.714285714286,215.265167728025,0.377607372078023
