ID	Raven	CF	Color	Big	Small	Woval	Wrec	Boval	Brec	Color4	Color8	Woval4	Woval8	Wrec4	Wrec8	Boval4	Boval8	Brec4	Brec8	DigSym	RedBlueAccuracy	RedBlueRT	RedAcc	RedRT	BlueAcc	BlueRT	g	Slots	Resolution	SpeedDigitRedBlue	SpeedRedBlue
914	19	26	3.25	1.05	4.04	1.66	.43	4.16	3.92	3	3.5	1.23	2.1	.54	.31	2.83	5.48	3.24	4.6	94	.82	370.36	.87	373.34	.77	374.5	-.40523	.51366	-.3816	.58932	-.15212
915	30	32	4.56	.08	5.6	.28	-.13	5.58	5.63	3.88	5.25	0	.57	0	-.25	4	7.15	3.5	7.75	78	.99	379.5	.98	370.47	1	379.1	1.59434	2.11334	-1.52591	-.18519	-.13353
916	23	25	2.94	-.11	1.79	.31	-.53	2.02	1.56	3.63	2.25	.57	.05	-.76	-.29	1.8	2.25	2	1.11	97	1	406.74	1	395.24	1	401.27	-.0808	-.94262	-1.27133	.30715	.30103
917	26	37	3.44	1.57	3.02	2.35	.78	3.41	2.64	3.38	3.5	3.67	1.03	2.44	-.87	4	2.81	3.07	2.21	100	.95	334.29	.98	355.29	.92	317.55	1.77614	-.15658	.27414	1.24593	-.86166
918	22	17	2.56	2.63	3.4	3.28	1.99	2.68	4.11	3.38	1.75	1.94	4.63	1.71	2.26	3.05	2.31	3.84	4.39	86	.98	369.38	.95	423.63	1	368.73	-1.20601	-.33264	1.26787	.26422	.24082
919	24	28	1.88	.47	2.51	.94	0	2.34	2.68	2.75	1	1.4	.47	.67	-.67	1.8	2.87	2.4	2.96	61	.98	369.15	.98	406.35	.98	366.15	.41162	-.90641	-.7957	-.78314	.06186
951	26	34	3.69	1.23	3.41	.57	1.89	3.18	3.65	3.38	4	.43	.71	1.78	2	3	3.37	3.63	3.67	76	1	338.7	1	355.87	1	338.94	1.39647	.14168	.03257	.18847	-.65044
952	18	24	2.56	.96	1.42	1.31	.6	1.11	1.72	2.13	3	1.29	1.33	1.8	-.6	.89	1.33	2.27	1.18	61	1	529.35	1	582.42	1	492.9	-.77109	-1.44847	-.16136	-2.58014	2.85312
953	20	27	3.13	1.59	4.38	1.57	1.62	3.68	5.08	3.25	3	.46	2.68	1.73	1.5	2.91	4.45	3.86	6.3	73	1	321.74	1	337.45	1	319.04	-.16592	.60076	.16627	.25271	-1.00633
954	22	28	3.38	1.49	4.09	.94	2.04	3.47	4.7	3.75	3	1.23	.65	1.98	2.1	3.16	3.78	3.58	5.82	119	.97	391.86	1	364.85	.95	381.81	.18613	.46249	.17397	1.39814	-.15745
956	16	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	113	 	 	 	 	 	 	-.74347	 	 	 	 
957	20	25	3.13	2.09	3.4	2.33	1.85	3.54	3.27	3.25	3	1.75	2.9	1.33	2.37	2.94	4.15	3.02	3.51	84	.95	341.42	.95	326.19	.95	341.03	-.41904	-.12305	.82948	.4939	-.89509
958	25	22	4.38	2.45	4.77	3.84	1.07	5.11	4.42	3.75	5	2.76	4.91	2.49	-.36	3.53	6.7	3.33	5.51	87	.99	406.29	1	349.37	.98	358.87	-.23498	1.25785	.89386	-.10782	-.51646
959	24	29	2.56	1.16	2.82	1.15	1.16	2.61	3.03	2.88	2.25	1.36	.94	.29	2.02	3.59	1.63	2.19	3.87	56	.93	299.89	.98	316.74	.89	297.78	.53818	-.58603	-.06111	-.21621	-1.39581
960	29	29	5.38	3.77	4.97	5.5	2.05	5.85	4.1	4	6.75	4	7	2.88	1.21	4	7.69	3.77	4.43	96	1	283.81	1	298.13	1	283.35	1.10191	1.57716	2.22814	1.64417	-1.70087
961	31	32	5	1.15	3.32	1.44	.85	3.29	3.35	3.75	6.25	1.22	1.66	1.04	.67	2.41	4.17	2.86	3.85	93	.95	401.09	.94	376.85	.96	402.31	1.70708	.63018	-.16664	.20261	.14694
